Date,Value
2009-04-01,980666.14
2009-05-01,966760.34
2009-06-01,963147.09
2009-07-01,960217.34
2009-08-01,952045.04
2009-09-01,947923.26
2009-10-01,940392.11
2009-11-01,924820.91
2009-12-01,916076.63
2010-01-01,909531.16
2010-02-01,902330.23
2010-03-01,897879.61
2010-04-01,896602.91
2010-05-01,882595.44
2010-06-01,877043.12
2010-07-01,873223.28
2010-08-01,866784.93
2010-09-01,862090.68
2010-10-01,855380.39
2010-11-01,851023.71
2010-12-01,839102.67
2011-01-01,835418.27
2011-02-01,833744.99
2011-03-01,835667.93
2011-04-01,834226.14
2011-05-01,832510.72
2011-06-01,836248.43
2011-07-01,836459.22
2011-08-01,836213.6
2011-09-01,838293.07
2011-10-01,838235.09
2011-11-01,842069.65
2011-12-01,840164.23
2012-01-01,840484.51
2012-02-01,842731.81
2012-03-01,842774.94
2012-04-01,838276.76
2012-05-01,839975.12
2012-06-01,838818.52
2012-07-01,837490.26
2012-08-01,841409.15
2012-09-01,841567.54
2012-10-01,843409.68
2012-11-01,845827.77
2012-12-01,839980.84
2013-01-01,844794.66
2013-02-01,850406.45
2013-03-01,849563.63
2013-04-01,847856.23
2013-05-01,851751.63
2013-06-01,850688.48
2013-07-01,850854.89
2013-08-01,852378.38
2013-09-01,853263.62
2013-10-01,856964.62
2013-11-01,852439.84
2013-12-01,854138.8
2014-01-01,860896.56
2014-02-01,866697.65
2014-03-01,868753.38
2014-04-01,875086.45
2014-05-01,878555.19
2014-06-01,878415.09
2014-07-01,884171.75
2014-08-01,886133.52
2014-09-01,887169.15
2014-10-01,889798.43
2014-11-01,882173.75
2014-12-01,887381.64
2015-01-01,881033.59
2015-02-01,884751.64
2015-03-01,890777.97
2015-04-01,898602.06
2015-05-01,900342.45
2015-06-01,905490.7
2015-07-01,911442.36
2015-08-01,914594.11
2015-09-01,920698.87
2015-10-01,921731.24
2015-11-01,917819.55
2015-12-01,898082.65
2016-01-01,903594.77
2016-02-01,907604.18
2016-03-01,919221.85
2016-04-01,924099.12
2016-05-01,926988.16
2016-06-01,934770.98
2016-07-01,940192.76
2016-08-01,945126.03
2016-09-01,949069.8
2016-10-01,949948.18
2016-11-01,954415.47
2016-12-01,960095.49
2017-01-01,963467.38
2017-02-01,969320.82
2017-03-01,973860.13
2017-04-01,976395.93
2017-05-01,980809.9
2017-06-01,984955.36
2017-07-01,987546.57
2017-08-01,992084.83
2017-09-01,997799.58
2017-10-01,1006228.68
2017-11-01,1012316.89
2017-12-01,1016806.6
2018-01-01,1022731.0
2018-02-01,1024980.99
2018-03-01,1028817.4
2018-04-01,1024656.62
2018-05-01,1027724.28
2018-06-01,1025345.59
2018-07-01,1035337.56
2018-08-01,1042014.05
2018-09-01,1043901.27
2018-10-01,1050366.36
2018-11-01,1052545.16
2018-12-01,1053847.44
2019-01-01,1061026.63
2019-02-01,1063376.27
2019-03-01,1064354.25
2019-04-01,1070714.69
2019-05-01,1073802.25
2019-06-01,1071552.07
2019-07-01,1082456.83
2019-08-01,1084000.01
2019-09-01,1084190.0
2019-10-01,1087314.72
2019-11-01,1077376.27
2019-12-01,1091988.88
2020-01-01,1076357.79
2020-02-01,1081958.19
2020-03-01,1064082.5
2020-04-01,1006627.91
2020-05-01,981248.2
2020-06-01,973899.96
2020-07-01,971278.7
2020-08-01,961509.24
2020-09-01,964464.42
2020-10-01,961074.18
2020-11-01,953306.86
2020-12-01,954603.43
2021-01-01,951790.91
2021-02-01,955872.65
2021-03-01,954267.4
2021-04-01,953948.77
2021-05-01,961471.41
2021-06-01,986122.27
2021-07-01,990643.76
2021-08-01,994001.28
2021-09-01,1005332.86
2021-10-01,1013373.01
2021-11-01,1025886.27
2021-12-01,1033546.93
2022-01-01,1043732.38
2022-02-01,1055211.13
2022-03-01,1079329.43
2022-04-01,1092969.86
2022-05-01,1101405.35
2022-06-01,1120580.97
2022-07-01,1130232.19
2022-08-01,1144559.23
2022-09-01,1154880.25
2022-10-01,1166450.12
2022-11-01,1182560.52
2022-12-01,1192639.7
2023-01-01,1200988.21
2023-02-01,1205244.71
2023-03-01,1222516.8
2023-04-01,1234457.79
2023-05-01,1241882.1
2023-06-01,1247752.93
2023-07-01,1256257.38
2023-08-01,1270866.98
2023-09-01,1276945.1
2023-10-01,1280719.35
2023-11-01,1299363.55
2023-12-01,1298865.88
2024-01-01,1310033.68
2024-02-01,1320172.67
2024-03-01,1322156.83
2024-04-01,1324875.93
2024-05-01,1331663.85
2024-06-01,1330645.56
2024-07-01,1338290.47
2024-08-01,1338716.84
2024-09-01,1341182.02
2024-10-01,1350299.53
2024-11-01,1339076.22
2024-12-01,1296965.61
2025-01-01,1304256.73
2025-02-01,1305490.61
2025-03-01,1294474.41
2025-04-01,1301499.91
2025-05-01,1300223.95
2025-06-01,1300321.06
2025-07-01,1311491.9
2025-08-01,1305533.9
